1ID,Abbr,Full,Source
128,ABV,J.D. Beazley, Attic Black-Figure Vase-Painters (Oxford 1956),AJA
129,AÉpigr,L’Année épigraphique: Revue des publications épigraphiques relatives a l’antiquité romaine (Paris 1888– ),AJA
130,AntCr,D. Levi and G. Rizza, Antichità cretesi: Studi in onore di Doro Levi. 2 vols. (Catania 1973–1974),AJA
131,ANRW,H. Temporini, ed., Aufstieg und Niedergang der römischen Welt (Berlin 1972– ),AJA
132,ArchHom,F. Matz and H.G. Buchholz, eds., Archaeologia Homerica (Göttingen 1967– ),AJA
133,ARV²,J.D. Beazley, Attic Red-Figure Vase-Painters. 2nd ed. (Oxford 1963),AJA
134,ASR,C. Robert et al., Die antiken Sarkophagreliefs (Berlin 1890– ),AJA
135,BAPD,Beazley Archive Pottery Database (www.beazley.ox.ac.uk),AJA
136,Beazley Addenda²,T.H. Carpenter et al., Beazley Addenda: Additional References to ABV, ARV² and Paralipomena. 2nd ed. (Oxford 1989),AJA
137,Benndorf-Schöne,O. Benndorf and O. Schöne, Die antiken Bildwerke des Lateranensischen Museums (Leipzig 1867),AJA
138,BMC,R.S. Poole, Catalogue of the Greek Coins in the British Museum (London 1873– ),AJA
139,BMCRE,H. Mattingly, Coins of the Roman Empire in the British Museum (London 1923– ),AJA
140,BMCRR,H.A. Grueber, Coins of the Roman Republic in the British Museum (London 1910),AJA
141,BrBr,H. Brunn, Denkmäler griechischer und römischer Sculptur in historischer Anordnung (Munich 1888–1911),AJA
142,CAD,The Assyrian Dictionary of the Oriental Institute of the University of Chicago (Chicago 1956–2010),AJA
143,CAT,C.W. Clairmont, Classical Attic Tombstones (Kilchberg 1993),AJA
144,CB,L.D. Caskey and J.D. Beazley, Attic Vase Paintings in the Museum of Fine Arts, Boston (Oxford 1931–1963),AJA
145,CoMIK,J. Chadwick et al., Corpus of Mycenaean Inscriptions from Knossos (Cambridge 1986–1998),AJA
146,CIA,Königlich Preussische Akademie der Wissenschaften zu Berlin, Corpus inscriptionum atticarum (Berlin 1873–1897),AJA
147,CIE,C. Pauli et al., Corpus inscriptionum etruscarum (Rome 1964– [repr. of Leipzig 1893–1936]),AJA
148,CIG,A. Boeckh et al., Corpus inscriptionum graecarum (Berlin 1828–1877),AJA
149,CII,J.B. Frey, Corpus inscriptionum iudicarum (New York 1975),AJA
150,CIL,Königlich Preussische Akademie der Wissenschaften zu Berlin, Corpus inscriptionum latinarum (Berlin 1893–),AJA
151,CIS,Académie des inscriptions et belles-lettres, Corpus inscriptionum semiticarum (Paris 181–1962),AJA
152,CMS,F. Matz, Corpus der minoischen und mykenischen Siegel (Berlin 1964– ),AJA
153,CVA,Corpus vasorum antiquorum (Paris 1923– ),AJA
154,DACL,F. Cabrol and E. Leclercq, Dictionnaire d’archéologie chrétienne et de liturgie (Paris 1907–1953),AJA
155,DarSag,C. Daremberg and E. Saglio, Dictionnaire des antiquités grecques et romaines (Paris 1875),AJA
156,Docs¹,M. Ventris and J. Chadwick, Documents in Mycenaean Greek (Cambridge 1956),AJA
157,Docs²,M. Ventris and J. Chadwick, Documents in Mycenaean Greek. 2nd ed. (Cambridge 1973),AJA
158,EA,P. Arndt and W. Amelung, Photographische Einzelaufnahmen antiker Skulpturen (Munich 1893–1940),AJA
159,EAA,Enciclopedia dell’arte antica, classica e orientale (Rome 1958–1984),AJA
160,ES,E. Gerhard et al., Etruskische Spiegel (Berlin 1843–1897),AJA
161,Espérandieu,E. Espérandieu, Recueil général des bas-reliefs, statues, et bustes de la Gaule romaine (Paris 1907– ),AJA
162,ET,H. Rix, Etruskische Texte: Editio minor (Tübingen 1991),AJA
163,EVP,J.D. Beazley, Etruscan Vase Painting (Oxford 1947),AJA
164,FGrHist,F. Jacoby, Fragmente der griechischen Historiker (Berlin 1923– ),AJA
165,FHG,K. Müller, Fragmenta historicorum graecorum (Frankfurt 1975 [repr. of 1841–1938 ed.]),AJA
166,FR,A. Furtwängler and K. Reichhold, Griechische Vasenmalerei (Munich 1900–1925),AJA
167,FRHist,T.J. Cornell, ed., The Fragments of the Roman Historians. 3 vols. (Oxford 2013),AJA
168,GCH,C. Kraay et al., An Inventory of Greek Coin Hoards (New York 1973),AJA
169,Gercke-Norden,A. Gercke and E. Norden, Einleitung in die Altertumswissenschaft (Leipzig 1910–1912),AJA
170,GGR³,M.P. Nilsson, Geschichte der griechischen Religion. 3rd ed. (Munich 1967),AJA
171,GORILA,L. Godart and J.-P. Olivier, Recueil des inscriptions en Linéaire A (Paris 1976– ),AJA
172,GrCirclB,G.E. Mylonas, Grave Circle B of Mycenae (Lund 1964),AJA
173,HdA,Handbuch der Archäologie (Berlin 1931– ),AJA
174,Helbig⁴,W. Helbig, Führer durch die öffentlichen Sammlungen klassischer Altertümer in Rom. 4th ed. (Tübingen 1963–1972),AJA
175,Heldensage³,F. Brommer, Vasenlisten zur griechischen Heldensage. 3rd ed. (Marburg 1973),AJA
176,ICr,M. Guarducci and F. Halbherr, Inscriptiones creticae (Rome 1935–1950),AJA
177,ID,F. Dürrbach et al., Inscriptions de Délos (Paris 1926– ),AJA
178,IG,M. Fraenkel, Inscriptiones graecae (Berlin 1895– ),AJA
179,IGLSyr,L. Jalabert and R. Mouterde, Inscriptions grecques et latines de la Syrie (Paris 1929–[1986]),AJA
180,IGRR,R. Cagnat, Inscriptiones graecae ad res romanas pertinentes (Chicago 1975),AJA
181,II,A. Ferrua and A. Garzetti, Inscriptiones Italiae (Rome 1948–1986),AJA
182,ILLRP,H. Degrassi, Inscriptiones latinae liberae rei publicae (Rome 1957– ),AJA
183,ILS,H. Dessau, ed., Inscriptiones latinae selectae (Berlin 1892–1916),AJA
184,IsMEO,Istituto italiano per il Medio ed Estremo Oriente,AJA
185,IvE,H. Wankel et al., Die Inschriften von Ephesos (Bonn 1979–1984),AJA
186,Karo,G. Karo, Die Schachtgräber von Mykenai (Munich 1930–1933),AJA
187,KBo,Keilschrifttexte aus Boghazköi (Leipzig and Berlin 1916– ),AJA
188,KUB,Keilschrifturkunden aus Boghazköi (Berlin 1922– ),AJA
189,KirchPA,J.E. Kirchner, Prosopographia attica (Chicago 1981 [repr. of 1901–1903 ed.]),AJA
190,KlPauly,K. Ziegler et al., eds., Der kleine Pauly: Lexicon der Antike (Munich 1964–1975),AJA
191,LGPN,Lexicon of Greek Personal Names (Oxford 1987– ),AJA
192,LIMC,J. Boardman, Lexicon iconographicum mythologiae classicae (Zurich 1981–2009),AJA
193,LIMC Online,LIMCicon Database (www.limc-france.fr),AJA
194,LSJ⁹,H.G. Liddell et al., Greek-English Lexicon. 9th ed. (Oxford 1940),AJA
195,LSJ Online,The Online Liddell-Scott-Jones Greek-English Lexicon (www.tlg.uci.edu/lsj),AJA
196,LTUR,E.M. Steinby, ed., Lexicon topographicum urbis romae (Rome 1993),AJA
197,LTURS,A. La Regina, ed., Lexicon topographicum urbis Romae: Suburbium (Rome 2001–2008),AJA
198,Matz-Duhn,F. Matz and F. von Duhn, Antike Bildwerke in Rom (Leipzig 1881–1882),AJA
199,Migne, PG,J.P. Migne, Patrologia graeca (Paris 1928–1936),AJA
200,Migne, PL,J.P. Migne, Patrologia latina (Paris 1879),AJA
201,MMR²,M.P. Nilsson, The Minoan-Mycenaean Religion. 2nd ed. (Lund 1950),AJA
202,Nash²,E. Nash, Pictorial Dictionary of Ancient Rome. 2nd ed. (New York 1968),AJA
203,NTDAR,L. Richardson, A New Topographical Dictionary of Ancient Rome (Baltimore 1992),AJA
204,Neue Pauly,H. Cancik and H. Schneider, eds., Der neue Pauly: Enzyklopädie der Antike (Stuttgart 1996–2003),AJA
205,New Pauly, Antiquity,H. Cancik and H. Schneider, eds., Brill’s New Pauly: Encyclopaedia of the Ancient World. Antiquity (Boston 2002–2010),AJA
206,New Pauly, Classical,M. Landfester et al., eds., Brill’s New Pauly: Encyclopaedia of the Ancient World. Classical Tradition (Boston 2006–2011),AJA
207,New Pauly Online,Brill Online Reference Works (http://referenceworks.brillonline.com/browse/brill-s-new-pauly),AJA
208,OCD,The Oxford Classical Dictionary,AJA
209,OLD,Oxford Latin Dictionary,AJA
210,Paralipomena,J.D. Beazley, Paralipomena (Oxford 1971),AJA
211,PECS,R. Stillwell et al., eds., Princeton Encyclopedia of Classical Sites (Princeton 1976),AJA
212,PGC,H.G. Buchholz and V. Karageorghis, Prehistoric Greece and Cyprus (London 1973),AJA
213,PIR²,Prosopographia Imperii Romani. 2nd ed. (Berlin and Leipzig 1933–2015),AJA
214,Platner-Ashby,S.B. Platner and T. Ashby, A Topographical Dictionary of Ancient Rome (London 1929),AJA
215,RE,A. Pauly and G. Wissowa, Real-Encyclopädie der Classischen Altertumswissenschaft (1893–1978),AJA
216,RIC,H. Mattingly et al., The Roman Imperial Coinage (London 1923– ),AJA
217,RIC²,H. Mattingly et al., The Roman Imperial Coinage. 2nd rev. ed. (London 2007– ),AJA
218,Roscher,W.H. Roscher, Ausführliches Lexikon der griechischen und römischen Mythologie (Leipzig 1884–1937),AJA
219,RSGR,S. Reinach, Répertoire de la statuaire grecque et romaine (Paris 1897–1924),AJA
220,RVAp,A.D. Trendall and A. Cambitoglou, The Red-Figured Vases of Apulia (Oxford 1978– ),AJA
221,SEG,Supplementum epigraphicum graecum (Leiden 1923–),AJA
222,SIG,W. Dittenberger, Sylloge inscriptionum graecarum (Leipzig 1883– ),AJA
223,SNG,British Academy, Sylloge nummorum graecorum (London 1931– ),AJA
224,Stuart Jones, Cap.,H. Stuart Jones, A Catalogue of the Ancient Sculptures Preserved in the Municipal Collections of Rome: The Sculptures of the Museo Capitolino (Oxford 1926),AJA
225,Stuart Jones, Cons.,H. Stuart Jones, A Catalogue of the Ancient Sculptures Preserved in the Municipal Collections of Rome: The Sculptures of the Palazzo dei Conservatori (Oxford 1912),AJA
226,ThLE,M. Pallottino and M.P. Angeletti, Thesaurus linguae etruscae (Rome 1978– ),AJA
227,TKB,G. Mylonas, O taphikos kyklos B ton Mykenon (Athens 1972–1973),AJA
228,TLE²,M. Pallottino, Testimonia linguae etruscae. 2nd ed. (Florence 1968),AJA
229,TLG³,L. Berkowitz et al., Thesaurus Linguae Graecae Canon of Greek Authors and Works. 3rd ed. (Oxford 1990),AJA
230,TLG,Online Thesaurus Linguae Graecae: A Digital Library of Greek Literature (www.tlg.uci.edu),AJA
231,TLL,R. Estienne and J. Hollins, Thesaurus linguae latinae (London 1734–1735),AJA
232,Travlos, Athens,I. Travlos, Pictorial Dictionary of Ancient Athens (London 1971),AJA
233,Travlos, Attika,I. Travlos, Bildlexikon zur Topographie des antiken Attika (Tübingen 1988),AJA
234,A&A,Antike und Abendland,AJA
235,AA,Archäologischer Anzeiger,AJA
236,AAA,Athens Annals of Archaeology,AJA
237,AAES,Publications of an American Archaeological Expedition to Syria,AJA
238,AAS,Annales archéologiques arabes syriennes,AJA
239,AAs,Arts asiatiques (formerly RAA),AJA
240,AASOR,Annual of the American Schools of Oriental Research,AJA
241,AbhBerl,Abhandlungen der Deutschen Akademie der Wissenschaften zu Berlin,AJA
242,AbhGött,Abhandlungen der Akademie der Wissenschaften zu Göttingen,AJA
243,AbhHeid,Abhandlungen der Heidelberger Akademie der Wissenschaften,AJA
244,AbhKM,Abhandlungen für die Kunde des Morgenlandes,AJA
245,AbhLeip,Abhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig, Philologisch-historische Klasse,AJA
246,AbhMainz,Abhandlungen der Geistes- und Sozialwissenschaftlichen Klasse, Akademieder Wissenschaften und der Literatur in Mainz,AJA
247,AbhMünch,Bayerische Akademie der Wissenschaften, München, Philosophisch-historische Klasse: Abhandlungen,AJA
248,Acme,Acme: Annali della Facoltà di Filosofia e Lettere dell’Università statale di Milano,AJA
249,ACNAC,Ancient Coins in North American Collections,AJA
250,ActaAArtHist,Acta ad archaeologiam et artium historiam pertinentia,AJA
251,ActaArch,Acta archaeologica (Copenhagen),AJA
252,ActaArchHung,Acta archaeologica Academiae scientiarum Hungaricae,AJA
253,ActaArchLov,Acta archaeologica Lovanensia,AJA
